Código único,Barrio,Lados de manzana por estrato 1,Lados de manzana por estrato 2,Lados de manzana por estrato 3,Lados de manzana por estrato 4,Lados de manzana por estrato 5,Lados de manzana por estrato 6,Sin vivienda,Estrato moda
2106,Desepaz Invicali,222, -, -, -, -, -,248,1
2107,Compartir,96,96, -, -, -, -,236,1
2108,Talanga,177, -, -, -, -, -,188,1
2194,Villamercedes I Villa Luz Las Garzas,70, -, -, -, -, -,36,1
2195,Pizamos III   Las Dalias,48, -, -, -, -, -,53,1
2196,Potrero Grande,609,19, -, -, -, -,16,1
2197,Ciudadela del Río   CVC,65,96, -, -, -, -,100,2
2198,Valle Grande,1,242, -, -, -, -,232,2
2199,Planta de Tratamiento,1, -, -, -, -, -, -,NR
2201,Urbanización Ciudad Jardín, -, -, -, -,19,120,85,6
2296,Parcelaciones Pance, -, -, -, -,3,213,180,6
2297,Urbanización Río Lili, -,13, -, -, -,21,37,6
2298,Ciudad Campestre, -, -, -,1,6,23,19,6
2299,Club Campestre, -, -, -, -, -,1,11,6
5197,Ciudad Meléndez -  Las Vegas, -,49, -,7,6, -, -,2
5294,Parcelación Andalucía, -, -, -,26,2, -,30,4
5295,Piedra Grande, -, -, -,30,2,4,90,4
5399,Pance Suburbano, -, -, -, -,4,56,181,6
5410,La Riverita, -,-,-,-, -,34,5,6
5486,La Luisa,1,5,20,10, -, -,8,3
5487,La Sirena,47,30, -,1, -,-,22,1
5488,Bella Suiza,6,12, -,6,1,1,8,2
5492,Parque de la Bandera,122, -, -, -, -, -,89,1
5607,El Mango - La Reforma,,19, -, -, -, -,7,2
-,Comuna 1,653,350,4,5,1,6,169,1
-,Comuna 2,114,33,279,895,890,212,1221,4
-,Comuna 3,60,146,746,27,51,1,531,3
-,Comuna 4,62,762,714,2,0,0,599,2
-,Comuna 5,0,37,1400,35,0,0,1296,3
-,Comuna 6,113,1932,273,0,0,0,1364,2
-,Comuna 7,108,625,770,1,0,0,652,3
-,Comuna 8,0,343,1875,0,0,0,443,3
-,Comuna 9,130,257,915,0,0,0,246,3
-,Comuna 10,0,120,1609,309,3,0,338,3
-,Comuna 11,5,539,1387,0,0,0,336,3
-,Comuna 12,0,551,730,0,0,0,191,3
-,Comuna 13,772,1978,313,0,0,0,927,2
-,Comuna 14,2324,881,0,0,0,0,1164,1
-,Comuna 15,959,1119,423,0,0,0,1006,2
-,Comuna 16,100,1506,3,166,0,0,381,2
-,Comuna 17,0,4,177,627,920,98,1284,5
-,Comuna 18,932,570,564,25,6,0,504,1
-,Comuna 19,34,112,93,1127,743,114,824,4
-,Comuna 20,1494,238,55,0,0,0,530,1
-,Comuna 21,1903,541,0,0,0,0,1705,1
-,Comuna 22,0,13,0,1,28,378,332,6
-,Otros,176,115,20,80,15,95,440,1
